State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Madras,4,50,1967,2,2,0,3,K. ARANGANATHAN,M,IND,11756,,,65337,92089,MELMALAYANUR,GEN,,,5,70.95,17.99,no,9705,14.85,2.78,AEMD84487,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,50,1967,2,2,0,4,M. A. KUTHAN,M,IND,2051,,,65337,92089,MELMALAYANUR,GEN,,,5,70.95,3.14,yes,931,1.42,2.78,AEMD84488,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,50,1967,2,2,0,5,A. ANTHONISAMY,M,IND,1120,,,65337,92089,MELMALAYANUR,GEN,,,5,70.95,1.71,yes,0,0,2.78,AEMD84489,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,51,1967,2,2,0,1,V. MUNUSAMI,M,DMK,39517,,,71086,94916,GINGEE,GEN,,,6,74.89,55.59,no,11612,16.34,2.17,AEMD84490,State-based Party,10192,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,51,1967,2,2,0,2,G. RAJARAM,M,INC,27905,,,71086,94916,GINGEE,GEN,,,6,74.89,39.26,no,26313,37.02,2.17,AEMD84491,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,51,1967,2,2,0,3,P. R. ARANGANATHAN,M,IND,1592,,,71086,94916,GINGEE,GEN,,,6,74.89,2.24,yes,799,1.12,2.17,AETN208264,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,51,1967,2,2,0,4,K. LOURDUNATHAN,M,IND,793,,,71086,94916,GINGEE,GEN,,,6,74.89,1.12,yes,46,0.06,2.17,AEMD84493,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,51,1967,2,2,0,5,A. ERUSAN,M,IND,747,,,71086,94916,GINGEE,GEN,,,6,74.89,1.05,yes,215,0.3,2.17,AEMD84494,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,51,1967,2,2,0,6,P. SAMINATHAN,M,IND,532,,,71086,94916,GINGEE,GEN,,,6,74.89,0.75,yes,0,0,2.17,AEMD84495,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Madras,4,52,1967,2,2,0,1,K. RAMAMOORTHY,M,INC,34106,,,66114,89697,TINDIVANAM,GEN,,,2,73.71,51.59,no,2098,3.17,2,AETN210834,National Party,3482,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
